Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,StdError,StdError,StdError,StdError,StdError,StdError
Pressure,Temperature,Altitude,CO2,CO,H2O,O3,HCl,Pressure,Temperature,CO2,CO,H2O,O3
1.3146e-02,1.7972e+02,0.0000e+00,9.4569e-01,1.0416e-03,4.1628e-06,4.1887e-07,1.0000e-09,1.3146e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.5937e-03,1.7590e+02,3.8635e+00,9.6179e-01,7.2072e-04,6.8702e-05,2.3746e-07,1.0000e-09,8.5937e-03,2.8514e+01,1.1641e-02,2.2695e-04,1.4321e-04,1.4161e-07
8.0702e-03,1.8149e+02,4.4362e+00,9.6304e-01,6.9509e-04,1.2137e-04,1.9787e-07,1.0000e-09,8.0702e-03,2.9448e+01,9.6729e-03,1.8891e-04,2.4712e-04,1.4064e-07
7.6176e-03,1.8619e+02,4.9772e+00,9.6352e-01,6.8357e-04,1.6735e-04,1.6504e-07,1.0000e-09,7.6176e-03,2.9775e+01,8.5169e-03,1.6751e-04,3.1091e-04,1.3772e-07
7.2399e-03,1.8992e+02,5.4646e+00,9.6370e-01,6.7839e-04,1.9347e-04,1.3999e-07,1.0000e-09,7.2399e-03,2.9627e+01,7.0928e-03,1.4112e-04,3.2120e-04,1.2964e-07
6.8718e-03,1.9277e+02,5.9733e+00,9.6374e-01,6.7706e-04,2.0297e-04,1.2129e-07,1.0000e-09,6.8718e-03,2.9475e+01,6.1139e-03,1.2290e-04,3.1283e-04,1.2208e-07
6.4864e-03,1.9476e+02,6.5429e+00,9.6368e-01,6.7817e-04,2.0169e-04,1.0736e-07,1.0000e-09,6.4864e-03,2.9350e+01,5.6248e-03,1.1361e-04,2.9671e-04,1.1609e-07
6.1104e-03,1.9623e+02,7.1373e+00,9.6359e-01,6.8027e-04,1.9634e-04,9.5668e-08,1.0000e-09,6.1104e-03,2.9134e+01,5.3390e-03,1.0795e-04,2.7876e-04,1.1065e-07
5.7464e-03,1.9737e+02,7.7526e+00,9.6349e-01,6.8247e-04,1.9133e-04,8.6101e-08,1.0000e-09,5.7464e-03,2.8848e+01,5.4424e-03,1.0956e-04,2.6074e-04,1.0651e-07
5.4275e-03,1.9799e+02,8.3268e+00,9.6349e-01,6.8302e-04,1.8514e-04,7.8898e-08,1.0000e-09,5.4275e-03,2.8533e+01,6.0760e-03,1.2054e-04,2.4289e-04,1.0377e-07
5.1915e-03,1.9855e+02,8.7752e+00,9.6370e-01,6.7917e-04,1.8077e-04,7.4402e-08,1.0000e-09,5.1915e-03,2.8565e+01,7.5718e-03,1.4857e-04,2.2817e-04,1.0385e-07
5.0090e-03,1.9924e+02,9.1371e+00,9.6377e-01,6.7775e-04,1.7859e-04,7.2227e-08,1.0000e-09,5.0090e-03,2.8905e+01,9.1151e-03,1.7714e-04,2.1682e-04,1.0729e-07
4.8507e-03,1.9942e+02,9.4624e+00,9.6356e-01,6.8152e-04,1.7549e-04,7.2487e-08,1.0000e-09,4.8507e-03,2.9318e+01,1.1157e-02,2.1359e-04,2.0737e-04,1.1478e-07
4.7053e-03,1.9919e+02,9.7708e+00,9.6315e-01,6.8924e-04,1.7198e-04,7.4172e-08,1.0000e-09,4.7053e-03,2.9589e+01,1.3276e-02,2.5351e-04,1.9925e-04,1.2460e-07
4.5552e-03,1.9875e+02,1.0099e+01,9.6283e-01,6.9585e-04,1.6890e-04,7.5359e-08,1.0000e-09,4.5552e-03,2.9718e+01,1.4661e-02,2.8219e-04,1.9231e-04,1.3066e-07
4.3969e-03,1.9818e+02,1.0455e+01,9.6256e-01,7.0177e-04,1.6617e-04,7.5819e-08,1.0000e-09,4.3969e-03,2.9720e+01,1.5711e-02,3.0472e-04,1.8571e-04,1.3461e-07
