Molecule_ID 	Formula 	Name
1 	H2O 	Water
2 	CO2 	Carbon_Dioxide
3 	O3 	Ozone
4 	N2O 	Nitrous_Oxide
5 	CO 	Carbon_Monoxide
6 	CH4 	Methane
7 	O2 	Oxygen
8 	NO 	Nitric_Oxide
9 	SO2 	Sulfur_Dioxide
10 	NO2 	Nitrogen_Dioxide
11 	NH3 	Ammonia
12 	HNO3 	Nitric_Acid
13 	OH 	Hydroxyl
14 	HF 	Hydrogen_Fluoride
15 	HCl 	Hydrogen_Chloride
16 	HBr 	Hydrogen_Bromide
17 	HI 	Hydrogen_Iodide
18 	ClO 	Chlorine_Monoxide
19 	OCS 	Carbonyl_Sulfide
20 	H2CO 	Formaldehyde
21 	HOCl 	Hypochlorous_Acid
22 	N2 	Nitrogen
23 	HCN 	Hydrogen_Cyanide
24 	CH3Cl 	Methyl-Chloride
25 	H2O2 	Hydrogen_Peroxide
26 	C2H2 	Acetylene
27 	C2H6 	Ethane
28 	PH3 	Phosphine
29 	COF2 	Carbonyl_Fluoride
30 	SF6 	Sulfur_Hexafluoride
31 	H2S 	Hydrogen_Sulfide
32 	HCOOH 	Formic_Acid
33 	HO2 	Hydroperoxyl
34 	O 	Oxygen_Atom
35 	ClONO2 	Chlorine_Nitrate
36 	NO+ 	Nitric_Oxide_Cation
37 	HOBr 	Hypobromous_Acid
38 	C2H4 	Ethylene
39 	CH3OH 	Methanol
40 	CH3Br 	Methyl_Bromide
41 	CH3CN 	Acetonitrile
42 	CF4 	PFC-14
43 	C4H2 	Diacetylene
44 	HC3N 	Cyanoacetylene
45 	H2 	Hydrogen
46 	CS 	Carbon_Monosulfide
47 	SO3 	Sulfur_trioxide
48 	C2N2 	Cyanogen
49 	COCl2 	Phosgene
50 	SO 	Sulfur_Monoxide
51 	CH3F 	Methyl_fluoride
52 	GeH4 	Germane
53 	CS2 	Carbon_disulfide
54 	CH3I 	Methyl_iodide
55 	NF3 	Nitrogen_trifluoride
