Pressure,Temperature,CO2,CO,H2O,O3,HCl
1.3255e-02,1.8118e+02,9.4585e-01,1.0392e-03,1.2354e-04,4.1961e-07,1.0000e-09
8.5704e-03,1.7619e+02,9.6153e-01,7.2590e-04,1.2354e-04,2.3858e-07,1.0000e-09
8.0427e-03,1.8198e+02,9.6332e-01,6.8980e-04,1.2354e-04,1.9382e-07,1.0000e-09
7.5641e-03,1.8722e+02,9.6358e-01,6.8236e-04,1.7644e-04,1.5969e-07,1.0000e-09
7.1703e-03,1.9065e+02,9.6362e-01,6.7975e-04,1.9699e-04,1.3643e-07,1.0000e-09
6.7964e-03,1.9295e+02,9.6357e-01,6.8018e-04,2.0040e-04,1.2052e-07,1.0000e-09
6.4240e-03,1.9421e+02,9.6357e-01,6.8040e-04,1.9665e-04,1.0993e-07,1.0000e-09
6.0679e-03,1.9502e+02,9.6359e-01,6.8019e-04,1.9402e-04,1.0068e-07,1.0000e-09
5.7161e-03,1.9598e+02,9.6354e-01,6.8169e-04,1.9030e-04,9.1072e-08,1.0000e-09
5.4068e-03,1.9651e+02,9.6353e-01,6.8220e-04,1.8416e-04,8.4162e-08,1.0000e-09
5.1746e-03,1.9721e+02,9.6373e-01,6.7836e-04,1.8019e-04,7.9032e-08,1.0000e-09
4.9918e-03,1.9788e+02,9.6379e-01,6.7725e-04,1.7746e-04,7.6776e-08,1.0000e-09
4.8255e-03,1.9814e+02,9.6357e-01,6.8138e-04,1.7464e-04,7.6678e-08,1.0000e-09
4.6721e-03,1.9800e+02,9.6320e-01,6.8874e-04,1.7144e-04,7.7759e-08,1.0000e-09
4.5149e-03,1.9756e+02,9.6279e-01,6.9688e-04,1.6821e-04,7.9063e-08,1.0000e-09
4.3529e-03,1.9688e+02,9.6245e-01,7.0401e-04,1.6523e-04,8.0215e-08,1.0000e-09
4.1818e-03,1.9617e+02,9.6213e-01,7.1080e-04,1.6324e-04,8.1160e-08,1.0000e-09
3.9927e-03,1.9530e+02,9.6172e-01,7.1913e-04,1.6013e-04,8.2263e-08,1.0000e-09
3.7925e-03,1.9450e+02,9.6157e-01,7.2253e-04,1.5702e-04,8.1422e-08,1.0000e-09
3.5866e-03,1.9349e+02,9.6127e-01,7.2867e-04,1.5342e-04,8.1894e-08,1.0000e-09
3.3696e-03,1.9251e+02,9.6130e-01,7.2893e-04,1.4993e-04,7.9521e-08,1.0000e-09
3.1275e-03,1.9150e+02,9.6152e-01,7.2586e-04,1.4615e-04,7.5129e-08,1.0000e-09
2.8739e-03,1.9039e+02,9.6182e-01,7.2141e-04,1.4152e-04,6.9921e-08,1.0000e-09
2.6227e-03,1.8932e+02,9.6225e-01,7.1414e-04,1.3597e-04,6.3447e-08,1.0000e-09
2.3571e-03,1.8801e+02,9.6251e-01,7.1070e-04,1.2827e-04,5.7460e-08,1.0000e-09
2.0866e-03,1.8650e+02,9.6262e-01,7.0992e-04,1.1912e-04,5.1894e-08,1.0000e-09
1.8559e-03,1.8499e+02,9.6266e-01,7.1059e-04,1.1027e-04,4.7248e-08,1.0000e-09
1.6064e-03,1.8311e+02,9.6268e-01,7.1211e-04,1.0047e-04,4.2132e-08,1.0000e-09
1.3885e-03,1.8119e+02,9.6269e-01,7.1405e-04,9.1598e-05,3.7673e-08,1.0000e-09
1.1913e-03,1.7919e+02,9.6270e-01,7.1657e-04,8.3339e-05,3.3741e-08,1.0000e-09
1.0000e-03,1.7692e+02,9.6271e-01,7.2002e-04,7.5266e-05,3.0286e-08,1.0000e-09
7.1966e-04,1.7292e+02,9.6273e-01,7.2851e-04,6.2882e-05,2.6592e-08,1.0000e-09
5.0130e-04,1.6906e+02,9.6276e-01,7.4148e-04,5.2224e-05,2.6097e-08,1.0000e-09
3.3077e-04,1.6541e+02,9.6280e-01,7.6288e-04,4.3262e-05,3.0399e-08,1.0000e-09
2.0554e-04,1.6220e+02,9.6283e-01,7.9917e-04,3.6414e-05,4.3308e-08,1.0000e-09
1.1396e-04,1.5938e+02,9.6278e-01,8.6716e-04,2.9931e-05,6.3153e-08,1.0000e-09
9.0255e-05,1.5855e+02,9.6272e-01,9.0343e-04,2.7176e-05,6.3574e-08,1.0000e-09
5.6012e-05,1.5715e+02,9.6257e-01,9.8398e-04,2.1960e-05,5.4534e-08,1.0000e-09
3.0554e-05,1.5593e+02,9.6223e-01,1.1219e-03,1.6254e-05,2.7548e-08,1.0000e-09
1.5898e-05,1.5553e+02,9.6168e-01,1.3178e-03,1.5280e-05,2.1258e-08,1.0000e-09
8.0357e-06,1.5571e+02,9.6091e-01,1.5798e-03,1.4648e-05,3.0524e-08,1.0000e-09
3.9993e-06,1.5530e+02,9.5980e-01,1.9196e-03,1.3871e-05,4.8125e-08,1.0000e-09
1.9860e-06,1.5466e+02,9.5806e-01,2.4223e-03,1.3172e-05,6.1481e-08,1.0000e-09
9.8622e-07,1.5279e+02,9.5504e-01,3.2991e-03,1.2444e-05,2.2352e-08,1.0000e-09
4.8974e-07,1.4522e+02,9.5014e-01,4.6533e-03,1.1823e-05,2.1110e-08,1.0000e-09
2.4320e-07,1.3997e+02,9.4322e-01,6.5489e-03,1.1287e-05,1.1968e-08,1.0000e-09
1.2077e-07,1.3705e+02,9.3449e-01,8.9560e-03,1.0884e-05,5.5176e-09,1.0000e-09
